,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Abalistes filamentosus,37465089,Actinopterygii,Tetraodontiformes,Balistidae,,Abalistes,filamentosus,Australia,Hairfin triggerfish,NW,TL,0.02512,2.94,,,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor,invertebrate carnivore,,,41.21,Australia/Indonesia/New.Caledonia,native,450,FL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Abalistes stellatus,37465011,Actinopterygii,Tetraodontiformes,Balistidae,,Abalistes,stellatus,Australia,Starry triggerfish,NW/N/CS/TE/SE,TL,0.02512,2.94,,,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor/SEQ,invertebrate carnivore,,,44.84,Australia/Bahrain/China/Comoros/Fiji/Indonesia/Iraq/Japan/Jordan/Korea.(Republic.of)/Kuwait/Malaysia/Mauritius/Oman/New.Caledonia/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/South.Africa/Thailand/Tonga/United.Arab.Emirates,native,600,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Ablennes hians,37235001,Actinopterygii,Beloniformes,Belonidae,,Ablennes,hians,Australia,Barred longtom,SW,FL,0.00036,3.322,0,1,FishBase,Species specific,West/Southwest,,,Least Concern,39.61,"American.Samoa/Angola/Antigua.and.Barbuda/Australia/Bahamas/Bahrain/Barbados/Bermuda/Brazil/Belize/Virgin.Islands.(British)/Myanmar/Cameroon/Cabo.Verde/Cayman.Islands/China/Colombia/Comoros/Mayotte/Congo/Congo.(Democratic.Republic.of.the)/Cook.Islands/Costa.Rica/Cuba/Benin/Dominica/Dominican.Republic/Ecuador/El.Salvador/Equatorial.Guinea/Fiji/French.Guiana/French.Polynesia/Gabon/Gambia/Ghana/Grenada/Guadeloupe/Guam/Guatemala/Guinea/Guyana/Haiti/Honduras/India/Iraq/C̫te.d'Ivoire/Jamaica/Japan/Kenya/Korea.(Republic.of)/Kuwait/Liberia/Madagascar/Malaysia/Maldives/Martinique/Mauritania/Mauritius/Mexico/Montserrat/Mozambique/Oman/Namibia/Cura̤ao/Aruba/New.Caledonia/New.Zealand/Nicaragua/Nigeria/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Panama/Papua.New.Guinea/Peru/Philippines/Guinea-Bissau/Puerto.Rico/Qatar/R̩union/Saint.Helena,.Ascension.and.Tristan.da.Cunha/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Saudi.Arabia/Senegal/Seychelles/Sierra.Leone/Viet.Nam/Somalia/South.Africa/Suriname/Thailand/Togo/Tonga/Trinidad.and.Tobago/United.Arab.Emirates/Turks.and.Caicos.Islands/Tuvalu/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Venezuela.(Bolivarian.Republic.of)/Samoa",native,1400,TL,,,,,,,,,,,Y,B/R,,,,,,,,,,,,,,,,,,,,,,
Abudefduf bengalensis,37372003,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,bengalensis,Australia,Bengal sergeant,NW/SW/TE/N/CS,TL,0.02455,3,0,1.110093,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/Southwest/Ningaloo/Pilbara/Southwest/SEQ,invertebrate carnivore/invertebrate carnivore,,Least Concern,28.25,Australia/Solomon.Islands/Cambodia/China/Hong.Kong/India/Indonesia/Japan/Korea.(Republic.of)/Malaysia/Palau/Pakistan/Papua.New.Guinea/Philippines/Singapore/Viet.Nam/Thailand/Samoa,native,180,TL,3.1,4.333333,planktivore,Demersal,Hard bottom,Medium,Day,3,25.9817,28,N,,,,,,,,,,,,,,,,,,,,,,,
Abudefduf notatus,37372145,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,notatus,Australia,Yellowtail sergeant,Christmas.Island/Cocos.Keeling,TL,0.02455,3,0,1.131947,FishBase,LWR estimates for this Genus-body shape,,,,Least Concern,28.25,,,170,TL,2.7,4.333333,planktivore,Demersal,Hard bottom,Medium,Day,3,,28,N,,,,,,,,,,,,,,,,,,,,,,,
Abudefduf septemfasciatus,37372010,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,septemfasciatus,Australia,Banded sergeant,NW/CS/Cocos.Keeling/Christmas.Island,TL,0.02455,3,,,FishBase,LWR estimates for this Genus-body shape,Ningaloo/Pilbara/SEQ,algae/invertebrate consumer,,Least Concern,32.15,"Australia/Solomon.Islands/Myanmar/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Hong.Kong/India/Indonesia/Japan/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/South.Africa/Thailand/Tonga/Tanzania,.United.Republic.of/Samoa/Yemen",native,230,TL,3,4.333333,planktivore,Demersal,Hard bottom,Medium,Day,3,26.714,32,N,,,,,,,,,,,,,,,,,,,,,,,
Abudefduf sexfasciatus,37372011,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,sexfasciatus,Australia,Scissortail sergeant,NW/SW/TE/N/CS/Lord.Howe.Island/Christmas.Island,FL,0.0249,3.11,0,1,FishBase,Species specific,Ningaloo/Pilbara/SEQ,algae/invertebrate consumer,,Least Concern,29.65,"American.Samoa/Australia/Solomon.Islands/Myanmar/Cambodia/Sri.Lanka/Christmas.Island/Cook.Islands/Fiji/French.Polynesia/Guam/Hong.Kong/India/Indonesia/Japan/Jordan/Kenya/Korea.(Republic.of)/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,190,TL,2.4,4,planktivore,Demersal,Hard bottom,Medium,Day,3,24.25861,27,N,,,,,,,,,,,,,,,,,,,,,,,
Abudefduf sordidus,37372012,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,sordidus,Australia,Blackspot sergeant,NW/TE,TL,0.0164,3.142,0,1.073954,FishBase,Species specific,Ningaloo/Pilbara/SEQ,algae/invertebrate consumer,,Least Concern,33.11,"Australia/Solomon.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Djibouti/Kiribati/Guam/India/Indonesia/Japan/Jordan/Kenya/Korea.(Republic.of)/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,240,TL,2.8,4,planktivore,Demersal,Hard bottom,Medium,Day,3,26.807,32,N,,,,,,,,,,,,,,,,,,,,,,,
Abudefduf vaigiensis,37372013,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,vaigiensis,Australia,Indo-Pacific sergeant,NW/TE,TL,0.00989,3.267,0,1.126389,FishBase,Species specific,Ningaloo/Pilbara/SEQ,algae/invertebrate consumer,,Least Concern,15.82,"Australia/Bahrain/Solomon.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Djibouti/Kiribati/Guam/Hong.Kong/India/Indonesia/Israel/Italy/Japan/Jordan/Kenya/Korea.(Republic.of)/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/New.Zealand/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/Seychelles/Somalia/South.Africa/Thailand/Tonga/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,200,TL,2.6,4,planktivore,Demersal,Hard bottom,Medium,Day,3,24.50099,16,N,,,,,,,,,,,,,,,,,,,,,,,
Acanthaluteres brownii,37465001,Actinopterygii,Tetraodontiformes,Monacanthidae,,Acanthaluteres,brownii,Australia,Spinytail leatherjacket,SW,TL,0.02188,2.91,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,52.92,Australia,native,550,TL,2.8,3.933333,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,17.82197,56,Y,B/C/R,,,,,250,,Y,,,,,,,,,Y,,,,,,
