Dot Point Measurements

Generated: Friday 13 October 2023 15:43:43

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare									Radius %
10_1_DSC06511.JPG	      0		139	196																					100.0
10_1_DSC06511.JPG	      0		406	196													Relief	High	High (>3m)	3			82003006		89.9
10_1_DSC06511.JPG	      0		674	196													Relief	High	High (>3m)	3			82003006		89.9
10_1_DSC06511.JPG	      0		941	196													Relief	High	High (>3m)	3			82003006		100.0
10_1_DSC06511.JPG	      0		139	578																					64.2
10_1_DSC06511.JPG	      0		406	578													Relief	High	High (>3m)	3			82003006		46.9
10_1_DSC06511.JPG	      0		674	578													Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
10_1_DSC06511.JPG	      0		941	578													Relief	High	High (>3m)	3			82003006		64.2
10_1_DSC06511.JPG	      0		139	960																					46.5
10_1_DSC06511.JPG	      0		406	960													Relief	High	High (>3m)	3			82003006		15.5
10_1_DSC06511.JPG	      0		674	960													Relief	Low / moderate	Moderate (1-3m)	2			82003004		15.5
10_1_DSC06511.JPG	      0		941	960													Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.5
10_1_DSC06511.JPG	      0		139	1342																					64.2
10_1_DSC06511.JPG	      0		406	1342													Relief	High	High (>3m)	3			82003006		46.9
10_1_DSC06511.JPG	      0		674	1342													Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
10_1_DSC06511.JPG	      0		941	1342																					64.2
10_1_DSC06511.JPG	      0		139	1724																					100.0
10_1_DSC06511.JPG	      0		406	1724													Relief	High	High (>3m)	3			82003006		89.9
10_1_DSC06511.JPG	      0		674	1724													Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
10_1_DSC06511.JPG	      0		941	1724																					100.0
12_1_DSC04997.JPG	      0		139	196																					100.0
12_1_DSC04997.JPG	      0		406	196																					89.9
12_1_DSC04997.JPG	      0		674	196													Relief	High	High (>3m)	3			82003006		89.9
12_1_DSC04997.JPG	      0		941	196													Relief	High	High (>3m)	3			82003006		100.0
12_1_DSC04997.JPG	      0		139	578																					64.2
12_1_DSC04997.JPG	      0		406	578																					46.9
12_1_DSC04997.JPG	      0		674	578													Relief	High	High (>3m)	3			82003006		46.9
12_1_DSC04997.JPG	      0		941	578													Relief	High	High (>3m)	3			82003006		64.2
