Bshape,Class,Order,Family,Genus,Species,SpecCode,LengthMin,LengthMax,Number,a,b,CoeffDetermination,Type,Score,PopLWRef,DataRef
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,,,515,0.049070001,1.667000055,0.749956012,TL,0.749956012,42455,6104
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,11.80000019,51.29999924,967,0.045639999,1.682999969,0.749956012,TL,0.749956012,42455,4678
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,,,452,0.040059999,1.715999961,0.749956012,TL,0.749956012,42455,6104
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,10.39999962,58.70000076,2384,0.017659999,2.02699995,0.900031686,TL,0.900031686,42455,4678
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,,,1311,0.01489,2.030999899,0.920064688,TL,0.920064688,42455,6104
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,11.80000019,51.29999924,1588,0.016240001,2.049000025,0.850084007,TL,0.850084007,42455,4678
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,10.39999962,58.70000076,1763,0.01518,2.051000118,0.900031686,TL,0.900031686,42455,4678
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,,,266,0.01451,2.061000109,0.869929254,TL,0.869929254,42455,33913
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,,,255,0.01318,2.062000036,0.93006736,TL,0.93006736,42455,33913
eel-like,Actinopterygii,Perciformes,Cepolidae,Cepola,macrophthalma,56,,,1073,0.01535,2.085000038,0.890003622,TL,0.890003622,42455,6104
eel-like,Actinopterygii,Anguilliformes,Ophichthidae,Echelus,myrus,1713,30.89999962,67.5,14,0.0131,2.27699995,0.980000019,TL,0.980000019,86727,86727
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Strophidon,sathete,8595,22,223.5,37,0.01126,2.310839891,0.990024984,FL,0.990024984,55787,55787
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,20.5,58.79999924,84,0.0083,2.334000111,0.730000019,TL,0.730000019,86727,86727
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,planeri,4481,3.700000048,20.5,848,0.0076,2.424999952,0.850000024,TL,0.850000024,88166,88166
eel-like,Actinopterygii,Beloniformes,Belonidae,Strongylura,leiura,1315,43.5,75,21,0.00981,2.515000105,0.715716004,FL,0.715716004,26587,26587
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Caspiomyzon,wagneri,8718,34,46,108,0.00225,2.530999899,,TL,0.7,12275,35122
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,miliaris,1103,24.89999962,74.19999695,6,0.0109,2.573999882,0.99000001,TL,0.99000001,6937,6937
eel-like,Actinopterygii,Polypteriformes,Polypteridae,Erpetoichthys,calabaricus,4830,20.10000038,33.59999847,146,0.005,2.58100009,0.870489061,TL,0.870489061,11363,11363
eel-like,Actinopterygii,Polypteriformes,Polypteridae,Erpetoichthys,calabaricus,4830,24.5,35.29999924,30,0.005242,2.604029894,0.819749117,TL,0.819749117,57961,
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Caspiomyzon,wagneri,8718,36,53,50,0.00152,2.610300064,,TL,0.7,12275,35120
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,,,7,0.007,2.630000114,0.929295957,TL,0.929295957,50467,50467
eel-like,Myxini,Myxiniformes,Myxinidae,Eptatretus,stoutii,2512,20,67,,0.006084,2.650089979,0.984244525,TL,0.984244525,40710,40710
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,unicuspis,2519,,,145,0.00151,2.660000086,0.774399996,TL,0.774399996,35872,35872
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,pelagicus,3305,6,21,17,0.0198,2.660000086,,FL,0.7,11824,11824
eel-like,Actinopterygii,Anguilliformes,Ophichthidae,Echelus,myrus,1713,4.400000095,49.5,310,0.0041,2.661999941,0.967000008,TL,0.967000008,59100,59100
eel-like,Actinopterygii,Beloniformes,Belonidae,Strongylura,timucu,975,36.70000076,51.40000153,10,0.0043,2.671999931,0.954999983,TL,0.954999983,55642,55642
eel-like,Myxini,Myxiniformes,Myxinidae,Eptatretus,stoutii,2512,20,67,,0.00505,2.681299925,0.991504073,TL,0.991504073,40710,40710
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,32.40000153,43.29999924,86,0.0028,2.710000038,0.731709182,TL,0.731709182,53846,53846
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,11,0.008853268,2.720000029,0.819999993,TL,0.819999993,45507,45507
eel-like,Actinopterygii,Polypteriformes,Polypteridae,Erpetoichthys,calabaricus,4830,22.29999924,34.20000076,152,0.0033,2.749000072,0.954528987,TL,0.954528987,11363,11363
eel-like,Actinopterygii,Ophidiiformes,Ophidiidae,Genypterus,brasiliensis,26204,35.40000153,96.19999695,41,0.0147,2.766000032,0.995999992,TL,0.995999992,55642,55642
eel-like,Myxini,Myxiniformes,Myxinidae,Eptatretus,deani,2511,20,52,,0.00356,2.805130005,0.981466651,TL,0.981466651,40710,40710
eel-like,Actinopterygii,Anguilliformes,Nettastomatidae,Venefica,proboscidea,9073,15.10000038,62.20000076,35,0.00039,2.812999964,0.864899993,TL,0.864899993,50427,
eel-like,Actinopterygii,Anguilliformes,Muraenesocidae,Muraenesox,bagio,5514,56,106,14,0.00259,2.824280024,0.978121042,FL,0.978121042,55787,55787
eel-like,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,funebris,7546,59.70000076,213,9,0.00409,2.855999947,0.939999998,TL,0.939999998,6937,6937
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,dieffenbachii,11878,,,30,0.004495822,2.859999895,0.829999328,TL,0.829999328,45507,45507
eel-like,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus,aculeatus,5152,6.5,21.79999924,317,0.0052,2.864000082,0.978121042,TL,0.978121042,59095,59095
eel-like,Actinopterygii,Beloniformes,Hemiramphidae,Hyporhamphus,intermedius,12985,10.5,14.30000019,22,0.002,2.865999937,0.913935959,TL,0.913935959,74975,74975
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,42.09999847,84.5,14,0.00196,2.869999886,0.960400045,TL,0.960400045,13305,13305
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Lissocampus,filum,46170,6.699999809,12.5,12,0.000964,2.891000032,0.972195983,TL,0.972195983,27207,27207
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,abaster,1769,1.299999952,10.89999962,1260,0.00068,2.921999931,0.968256056,TL,0.968256056,59099,59099
eel-like,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Caspiomyzon,wagneri,8718,29,45,,0.00166,2.930000067,,TL,0.7,12275,35121
eel-like,Actinopterygii,Anguilliformes,Ophichthidae,Ophisurus,serpens,1745,12.10000038,50.09999847,41,0.0015,2.959000111,0.99000001,TL,0.99000001,86727,86727
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,16,124,,0.0009,2.969000101,0.902499974,TL,0.902499974,12260,12260
eel-like,Actinopterygii,Perciformes,Trichiuridae,Trichiurus,lepturus,1288,25.89999962,64,28,0.000693,2.973999977,0.927368999,TL,0.927368999,80009,80009
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,83.19999695,107.5999985,,0.00257,2.980000019,,TL,0.7,4521,4521
eel-like,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,296,47,67,5,0.00205,2.99000001,,TL,0.7,11824,12035
eel-like,Myxini,Myxiniformes,Myxinidae,Eptatretus,deani,2511,20,52,,0.001831,2.993989944,0.972081661,TL,0.972081661,40710,40710
eel-like,Actinopterygii,Perciformes,Trichiuridae,Benthodesmus,elongatus,3909,,,,0.00016,2.999000072,,TL,0.5,55926,
eel-like,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,typhle,1360,4,25.79999924,125,0.0003,3,0.960400045,TL,0.960400045,72413,
eel-like,Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,31.5,44.79999924,138,0.001,3.00999999,0.727608979,TL,0.727608979,53846,53846
