Sample,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Inc_prob,Exclude,Deployment.notes,Waypoint,Left.mem.card,Right.mem.card,Left.cam,Right.cam,Field.notes,Raw.hdd.number,Con.hdd.number,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Length.analyst,Length.complete.date.yyyymmdd,Successful.length,Habitat.image.forward,Highlight Videos,FIsh images,Representative Videos,Analysis.notes,Area
1_1,20210904,13:54:00,,97,Freycinet AMP,1,IV,-42.14846167,148.4930639,0.000885952,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN IV Shelf
1_2,20210904,13:58:00,,99,Freycinet AMP,1,IV,-42.15046444,148.4914165,0.000885952,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No ,Yes,Yes,n.a,IUCN IV Shelf
1_3,20210904,13:49:00,,106,Freycinet AMP,1,IV,-42.14732449,148.497394,0.000885952,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,Yes,Yes,Yes,nadda,IUCN IV Shelf
1_4,20210904,13:04:00,,106,Freycinet AMP,1,IV,-42.14448128,148.4944225,0.000885952,,,,,,,,,,,Ashlee B,,,Yes,,,No,Yes,No ,Yes,Yes,"No right CAM, no measurements",IUCN IV Shelf
1_5,20210904,13:45:00,,103,Freycinet AMP,1,IV,-42.14700222,148.4944818,0.000885952,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN IV Shelf
1_6,20210904,14:02:00,,98,Freycinet AMP,1,IV,-42.15194614,148.4929743,0.000885952,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No,Yes,Yes,n.a,IUCN IV Shelf
2_1,20210824,15:57:00,,70,Freycinet AMP,2,VI,-41.90069655,148.451444,0.345633,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No,Yes,Yes,na,Joes reef
2_2,20210824,15:54:00,,76,Freycinet AMP,2,VI,-41.89979311,148.4516646,0.345633,,,,,,,,,,,Ashlee B/DS,,,Yes,,,Yes,Yes,No ,Yes,Yes,too many macropterus. -Confirmed. Ends almost a minute short,Joes reef
3_1,20210905,09:23:00,,101,Freycinet AMP,3,IV,-42.19993751,148.4895235,0.0128306,,,,,,,,,,,Ashlee B,,,Yes,,,Yes,Yes,No ,Yes,Yes,acanthias (pregnant?),IUCN IV Shelf
3_2,20210905,09:31:00,,101,Freycinet AMP,3,IV,-42.20502021,148.4864935,0.0128306,,,,,,,,,,,Ashlee B,,,Yes,,,No,Yes,No,Yes,Yes,right cam only,IUCN IV Shelf
