opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,observer_count,observer_length,juvenile_lethrinids,successful_count,successful_length,drop_lengths_due_to_vis,visibility_m,raw_hdd_number,left_camera,right_camera,forwards_habitat_image_saved,successful_habitat_forward,observer_habitat_forward,maxn_complete_date,maxn_checker,length_complete_date,comment,strata,inclusion_probability,priority,sampling_design
EG-C02-048,-21.8002667,114.5490333,2024-05-01T08:18:54+08:00,C02,Exmouth Gulf,Fished,1,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,4,1,L002,R001,Yes,Yes,Nidhi Menon,21/05/2024,Alex McLennan,23/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-049,-21.8002833,114.53525,2024-05-01T08:28:55+08:00,C02,Exmouth Gulf,Fished,1.3,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,4,1,L004,R003,Yes,Yes,Nidhi Menon,29/05/2024,Alex McLennan,23/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-050,-21.8146667,114.5505667,2024-05-01T08:31:54+08:00,C02,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L008,R007,Yes,Yes,Nidhi Menon,30/05/2024,Alex McLennan,24/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-051,-21.7816667,114.5523167,2024-05-01T08:40:00+08:00,C02,Exmouth Gulf,Fished,8.7,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L010,R009,Yes,Yes,Nidhi Menon,26/06/2024,Alex McLennan,30/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-052,-21.7770667,114.5551833,2024-05-01T08:51:27+08:00,C02,Exmouth Gulf,Fished,8.5,Bri Beaulieu,Daniel Agnello,,Yes,Yes,Maybe,2,1,L014,R013,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,30/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C02-002,-21.7769667,114.5524333,2024-05-01T08:57:02+08:00,C02,Exmouth Gulf,Fished,9.8,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L016,R015,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,30/07/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-CPO-001,-21.8140167,114.54915,2024-05-01T09:17:13+08:00,CPO,Exmouth Gulf,Fished,2.9,,,,,No,,2.5,1,L018,R017,,,,,,,"Pre and Post-Cals are bad. Assumed the camera was not placed in the housing correctly. GPS off, captain pick ",,,,preferential (captains pick)
EG-C14-111,-21.68408493,114.4748599,2024-05-01T09:29:12+08:00,C14,Exmouth Gulf,Fished,15.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L006,R005,Yes,Yes,Nidhi Menon,11/06/2024,Alex McLennan,30/07/2024,GPS location wrong use sample plan location. Filmed the wrong opcode at the start.,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-112,-21.68423883,114.484985,2024-05-01T09:33:16+08:00,C14,Exmouth Gulf,Fished,14.9,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L024,R023,Yes,Yes,Nidhi Menon,27/06/2024,Alex McLennan,30/07/2024,GPS error not exact spot,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-110,-21.69167833,114.49003,2024-05-01T09:39:03+08:00,C14,Exmouth Gulf,Fished,15.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,1.5,1,L022,R021,Yes,Yes,Nidhi Menon,28/06/2024,Alex McLennan,06/08/2024,Bait gone on retreival,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-014,-21.70138026,114.4848282,2024-05-01T09:46:12+08:00,C14,Exmouth Gulf,Fished,16.3,Ryan Simms,Alex McLennan,,Yes,Yes,Maybe,1,1,L032,R031,Yes,Yes,Ryan Simms,19/08/2024,Alex McLennan,21/08/2024,Filmed the wrong opcode at the start- shows EG-C14-110. Annotated right video as left video partially obstructed,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-108,-21.70061667,114.4746467,2024-05-01T09:52:22+08:00,C14,Exmouth Gulf,Fished,13.4,Bri Beaulieu,Daniel Agnello,,Yes,Yes,,2,1,L026,R025,Yes,Yes,Nidhi Menon,13/06/2024,Alex McLennan,06/08/2024,,filter_feeders,0.00000002625901012,,spatially balanced
EG-C14-109,-21.69240167,114.4697183,2024-05-01T09:58:50+08:00,C14,Exmouth Gulf,Fished,15.6,,,,,No,,2,1,L028,R1201,,,,,,,Bait gone on retreival. Footage was not saved for the right cam,filter_feeders,0.00000002625901012,,spatially balanced
EG-C05-065,-21.74655,114.5427333,2024-05-01T10:52:30+08:00,C05,Exmouth Gulf,Fished,5.4,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L002,R001,Yes,Yes,Nidhi Menon,30/05/2024,Ryan Simms,02/08/2024,GPS off ,coral,0.0000003244777936,,spatially balanced
EG-C05-063,-21.7488667,114.5384,2024-05-01T10:57:54+08:00,C05,Exmouth Gulf,Fished,6.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2,1,L004,R003,Yes,Yes,Nidhi Menon,15/06/2024,Alex McLennan,07/08/2024,GPS OFF,coral,0.0000003244777936,,spatially balanced
EG-C05-005,-21.74645,114.53985,2024-05-01T11:02:16+08:00,C05,Exmouth Gulf,Fished,4.8,Bri Beaulieu,Ryan Simms,,Yes,Yes,,4,1,L008,R007,Yes,Yes,Nidhi Menon,31/05/2024,Alex McLennan,02/08/2024,GPS off,coral,0.0000003244777936,,spatially balanced
EG-C05-067,-21.7441833,114.5413833,2024-05-01T11:06:05+08:00,C05,Exmouth Gulf,Fished,2.7,Bri Beaulieu,,,,No,,3.5,1,L010,R009,,,,,,,"GPS OFF, right camera off on retrieval- maxn not completed (no right cam sync)",coral,0.0000003244777936,,spatially balanced
EG-C05-066,-21.7441167,114.5384833,2024-05-01T11:10:13+08:00,C05,Exmouth Gulf,Fished,2.3,,,,,No,,7,1,L014,R013,,,,,,,"GPS OFF, both cameras off on retrieval",coral,0.0000003244777936,,spatially balanced
EG-C05-064,-21.7464667,114.5370333,2024-05-01T11:17:45+08:00,C05,Exmouth Gulf,Fished,7,Bri Beaulieu,Ryan Simms,,Yes,Yes,,2.5,1,L016,R015,Yes,Yes,Nidhi Menon,02/06/2024,Alex McLennan,05/08/2024,GPS OFF,coral,0.0000003244777936,,spatially balanced
EG-CPO-002,-21.7428333,114.5374167,2024-05-01T11:27:04+08:00,CPO,Exmouth Gulf,Fished,3.3,Bri Beaulieu,Ryan Simms,,Yes,Yes,,3,1,L018,R017,Yes,Yes,Nidhi Menon,15/07/2024,Ryan Simms,05/08/2024,GPS OFF captains pick from sounder- period moved to when bruv is dragged and dropped again,,,,preferential (captains pick)
EG-C25-167,-21.72537833,114.4778417,2024-05-01T11:35:30+08:00,C25,Exmouth Gulf,Fished,16.9,,,,,No,,1.5,1,L028,R1201,,,,,,,Footage was not saved for the right cam,sand_sparse,0.000000004265529192,,spatially balanced
